IP Prefix,Country,Region Code,City,Postal Code,ISP/Organization
119.160.64.0/24,Pakistan,PK-IS,Islamabad,44000,Pakistan Mobile Communication Limited
119.160.65.0/24 ,Pakistan,PK-IS,Islamabad,44000,Pakistan Mobile Communication Limited
119.160.66.0/24 ,Pakistan,PK-IS,Islamabad,44000,Pakistan Mobile Communication Limited
119.160.67.0/24 ,Pakistan,PK-IS,Islamabad,44000,Pakistan Mobile Communication Limited
119.160.68.0/24 ,Pakistan,PK-IS,Islamabad,44000,Pakistan Mobile Communication Limited
119.160.69.0/24,Pakistan,PK-IS,Islamabad,44000,Pakistan Mobile Communication Limited
119.160.70.0/24,Pakistan,PK-IS,Islamabad,44000,Pakistan Mobile Communication Limited
119.160.71.0/24 ,Pakistan,PK-IS,Islamabad,44000,Pakistan Mobile Communication Limited
119.160.96.0/24,Pakistan,PK-PB,Lahore,54000,Pakistan Mobile Communication Limited
119.160.97.0/24,Pakistan,PK-PB,Lahore,54000,Pakistan Mobile Communication Limited
119.160.98.0/24,Pakistan,PK-PB,Lahore,54000,Pakistan Mobile Communication Limited
119.160.99.0/24,Pakistan,PK-PB,Lahore,54000,Pakistan Mobile Communication Limited
119.160.100.0/24,Pakistan,PK-PB,Lahore,54000,Pakistan Mobile Communication Limited
119.160.101.0/24,Pakistan,PK-PB,Lahore,54000,Pakistan Mobile Communication Limited
119.160.102.0/24,Pakistan,PK-PB,Lahore,54000,Pakistan Mobile Communication Limited
119.160.103.0/24,Pakistan,PK-PB,Lahore,54000,Pakistan Mobile Communication Limited
119.160.56.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
119.160.57.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
119.160.58.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
119.160.59.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.64.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.65.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.66.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.67.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.68.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.69.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.70.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.71.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.72.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.73.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.74.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.75.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.76.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.77.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.78.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.79.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.80.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.81.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.82.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.83.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.84.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.85.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.86.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.87.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.88.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.89.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.90.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.91.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.92.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.93.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.94.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.95.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.96.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.97.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.98.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.99.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.100.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.101.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.102.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.103.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.104.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.105.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.106.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.107.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.108.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.109.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.110.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.111.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.112.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.113.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.114.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.115.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.116.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.117.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.118.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.119.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.120.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
